d42,Compare Devers and Jose Ramirez last season,Compare Devers and Jose Ramirez this season,Comparison,Rafael Devers vs lefties,Jose Ramirez vs lefties,,PASS
d43,Vlad Guerrero Jr vs Pete Alonso last season,Vlad Guerrero Jr vs Pete Alonso this season,Comparison,Vlad Guerrero Jr vs lefties,Pete Alonso vs lefties,,PASS
d44,Most 30/30 seasons in baseball history?,,Composite Threshold (Local),(no pills),,,PASS
d45,Who has the longest hitting streak ever?,,Consecutive Streak (Local),<top player> <season>,how is <top player> doing lately,,PASS
d46,How many players have hit 40/40?,,Composite Threshold (Local),(no pills),,,PASS
d47,How many triple crowns have there been?,,Triple Crown (Local),(no pills),,,PASS
d48,Who had the most complete games last season?,Who has the most complete games this season?,Leaderboard (Pitching),all-time single season cg leaders,career cg leaders,2025 cg leaders (AL),2025 cg leaders (NL),PASS
d49,Did Ohtani have any hot streaks last season? [afterApril12],Has Ohtani had any hot streaks this season?,Streak,Shohei Ohtani cold streaks 2025,,,PASS (fixed: pill now includes season year)
d50,Jose Ramirez home vs away last season,Jose Ramirez home vs away this season,Home/Away Splits,Jose Ramirez 2025,,,PASS
d51,Most home runs while batting .300+?,,Filtered Leaderboard,Most hr with .300+ avg all-time,most hr with .300+ avg (AL),most hr with .300+ avg (NL),,PASS
d52,Most stolen bases with under 10 CS?,,Filtered Leaderboard,Most sb with 10 or fewer cs all-time,most sb with 10 or fewer cs (AL),most sb with 10 or fewer cs (NL),,PASS
d53,Highest batting average with 30+ home runs?,,Filtered Leaderboard,Highest avg with 30+ hr all-time,highest avg with 30+ hr (AL),highest avg with 30+ hr (NL),,PASS
d54,Lowest ERA with 200+ innings pitched?,,Filtered Leaderboard,Lowest era with 200+ ip all-time,lowest era with 200+ ip (AL),lowest era with 200+ ip (NL),,PASS
d55,Most wins with an ERA over 5.00?,,Filtered Leaderboard,Most w with 5.00+ era all-time,most w with 5.00+ era (AL),most w with 5.00+ era (NL),,PASS
d56,Highest OPS with fewer than 50 strikeouts?,,Filtered Leaderboard,Highest ops with 50 or fewer so all-time,highest ops with 50 or fewer so (AL),highest ops with 50 or fewer so (NL),,PASS (fixed: "so" alias added)
d57,Who has the most RBIs in a single game? [earlySeason],,Milestone (Backend),rbi leaders,career rbi leaders,,PASS (backend handles single-game records)
d58,Who has the most career grand slams? [earlySeason],,Milestone (Backend),hr leaders,career hr leaders,,PASS (backend)
d59,Has anyone pitched a perfect game since 2010? [earlySeason],,Milestone (Backend),Claude fallback pills,,,PASS (backend)
d60,Who struck out the most batters in a single season? [earlySeason],,Leaderboard (Backend),all-time single season so leaders,career so leaders,,PASS (fixed: "so" + "struck out" aliases added)
d61,Longest hitting streak last season,Longest hitting streak this season,Consecutive Streak (Local),<top player> <season>,how is <top player> doing lately,,PASS
d62,Corbin Carroll,,Season Lookup (Player Card),2025 ops leaders,Corbin Carroll career ops,,PASS
d63,Julio Rodriguez,,Season Lookup (Player Card),2025 ops leaders,Julio Rodriguez career ops,,PASS
d64,Adley Rutschman,,Season Lookup (Player Card),2025 ops leaders,Adley Rutschman career ops,,PASS
d65,Marcell Ozuna,,Season Lookup (Player Card),2025 ops leaders,Marcell Ozuna career ops,,PASS
d66,Manny Machado,,Season Lookup (Player Card),2025 ops leaders,Manny Machado career ops,,PASS
d67,Fernando Tatis Jr,,Season Lookup (Player Card),2025 ops leaders,Fernando Tatis Jr career ops,,PASS
d68,Jackson Chourio,,Season Lookup (Player Card),2025 ops leaders,Jackson Chourio career ops,,PASS
d69,Jarren Duran,,Season Lookup (Player Card),2025 ops leaders,Jarren Duran career ops,,PASS
d70,Matt Olson,,Season Lookup (Player Card),2025 ops leaders,Matt Olson career ops,,PASS
d71,CJ Abrams,,Season Lookup (Player Card),2025 ops leaders,CJ Abrams career ops,,PASS
d72,Babe Ruth,,Season Lookup (Backend Player Card),Babe Ruth <dynamic season>,Babe Ruth vs lefties,,WARN (pills may dead-end for pre-1969 platoon data)
d73,Mickey Mantle,,Season Lookup (Backend Player Card),Mickey Mantle <dynamic season>,Mickey Mantle vs lefties,,WARN (same)
d74,Willie Mays,,Season Lookup (Backend Player Card),Willie Mays <dynamic season>,Willie Mays vs lefties,,WARN (same)
d75,Hank Aaron,,Season Lookup (Backend Player Card),Hank Aaron <dynamic season>,Hank Aaron vs lefties,,WARN (same)
d76,Ketel Marte,,Season Lookup (Player Card),2025 ops leaders,Ketel Marte career ops,,PASS
d77,Marcus Semien,,Season Lookup (Player Card),2025 ops leaders,Marcus Semien career ops,,PASS
d78,Youngest player to hit 40 home runs,,Superlative (Local),Oldest player to hit 40+ hr,All players with 40+ hr,oldest with 40+ hr (AL),oldest with 40+ hr (NL),PASS
d79,Last player to steal 80 bases,,Superlative (Local → Backend),First player with 80+ sb,All players with 80+ sb,first with 80+ sb (AL),first with 80+ sb (NL),PASS (fixed: "steal"/"stole" aliases added)
d80,How did Ozzie Albies hit against sliders last season?,How has Ozzie Albies hit against sliders this season?,Pitch Type Splits (LOCAL),Ozzie Albies 2025,,,PASS (NEW: local pitch type parser)
d81,Willy Adames with two strikes last season,Willy Adames with two strikes this season,Count Splits (LOCAL),Willy Adames 2025,,,PASS (NEW: local count splits parser)
d82,William Contreras with runners in scoring position last season,William Contreras with runners in scoring position this season,RISP Splits (LOCAL),William Contreras 2025,,,PASS (NEW: local RISP parser)
